"Time","total"
2025-06-20 09:22:36,0.547%
2025-06-20 09:22:37,0.683%
2025-06-20 09:22:38,0.743%
2025-06-20 09:22:39,0.806%
2025-06-20 09:22:40,0.942%
2025-06-20 09:22:41,1.00%
2025-06-20 09:22:42,1.07%
2025-06-20 09:22:43,1.20%
2025-06-20 09:22:44,1.34%
2025-06-20 09:22:45,1.40%
2025-06-20 09:22:46,1.47%
2025-06-20 09:22:47,1.36%
2025-06-20 09:22:48,1.43%
2025-06-20 09:22:49,1.43%
2025-06-20 09:22:50,1.43%
2025-06-20 09:22:51,1.36%
2025-06-20 09:22:52,1.43%
2025-06-20 09:22:53,1.43%
2025-06-20 09:22:54,1.43%
2025-06-20 09:22:55,1.50%
2025-06-20 09:22:56,1.50%
2025-06-20 09:22:57,1.50%
2025-06-20 09:22:58,1.50%
2025-06-20 09:22:59,1.50%
2025-06-20 09:23:00,1.57%
2025-06-20 09:23:01,1.57%
2025-06-20 09:23:02,1.50%
2025-06-20 09:23:03,1.57%
2025-06-20 09:23:04,1.57%
2025-06-20 09:23:05,1.50%
2025-06-20 09:23:06,1.50%
2025-06-20 09:23:07,1.57%
2025-06-20 09:23:08,1.50%
2025-06-20 09:23:09,1.43%
2025-06-20 09:23:10,1.43%
2025-06-20 09:23:11,1.43%
2025-06-20 09:23:12,1.43%
2025-06-20 09:23:13,1.43%
2025-06-20 09:23:14,1.43%
2025-06-20 09:23:15,1.43%
2025-06-20 09:23:16,1.43%
2025-06-20 09:23:17,1.43%
2025-06-20 09:23:18,1.36%
2025-06-20 09:23:19,1.57%
2025-06-20 09:23:20,1.50%
2025-06-20 09:23:21,1.43%
2025-06-20 09:23:22,1.43%
2025-06-20 09:23:23,1.50%
2025-06-20 09:23:24,1.50%
2025-06-20 09:23:25,1.43%
2025-06-20 09:23:26,1.43%
2025-06-20 09:23:27,1.50%
2025-06-20 09:23:28,1.43%
2025-06-20 09:23:29,1.50%
2025-06-20 09:23:30,1.50%
2025-06-20 09:23:31,1.43%
2025-06-20 09:23:32,1.50%
2025-06-20 09:23:33,1.36%
2025-06-20 09:23:34,1.43%
2025-06-20 09:23:35,1.50%
2025-06-20 09:23:36,1.43%
2025-06-20 09:23:37,1.43%
2025-06-20 09:23:38,1.50%
2025-06-20 09:23:39,1.43%
2025-06-20 09:23:40,1.43%
2025-06-20 09:23:41,1.36%
2025-06-20 09:23:42,1.43%
2025-06-20 09:23:43,1.36%
2025-06-20 09:23:44,1.36%
2025-06-20 09:23:45,1.36%
2025-06-20 09:23:46,1.36%
2025-06-20 09:23:47,1.43%
2025-06-20 09:23:48,1.36%
2025-06-20 09:23:49,1.29%
2025-06-20 09:23:50,1.36%
2025-06-20 09:23:51,1.29%
2025-06-20 09:23:52,1.36%
2025-06-20 09:23:53,1.50%
2025-06-20 09:23:54,1.64%
2025-06-20 09:23:55,1.64%
2025-06-20 09:23:56,1.57%
2025-06-20 09:23:57,1.64%
2025-06-20 09:23:58,1.64%
2025-06-20 09:23:59,1.64%
2025-06-20 09:24:00,1.64%
2025-06-20 09:24:01,1.57%
2025-06-20 09:24:02,1.57%
2025-06-20 09:24:03,1.64%
2025-06-20 09:24:04,1.71%
2025-06-20 09:24:05,1.64%
2025-06-20 09:24:06,1.57%
2025-06-20 09:24:07,1.50%
2025-06-20 09:24:08,1.29%
2025-06-20 09:24:09,1.36%
2025-06-20 09:24:10,1.36%
2025-06-20 09:24:11,1.36%
2025-06-20 09:24:12,1.36%
2025-06-20 09:24:13,1.36%
2025-06-20 09:24:14,1.36%
2025-06-20 09:24:15,1.50%
2025-06-20 09:24:16,1.57%
2025-06-20 09:24:17,1.57%
2025-06-20 09:24:18,1.50%
2025-06-20 09:24:19,1.64%
2025-06-20 09:24:20,1.50%
2025-06-20 09:24:21,1.57%
2025-06-20 09:24:22,1.64%
2025-06-20 09:24:23,1.57%
2025-06-20 09:24:24,1.57%
2025-06-20 09:24:25,1.57%
2025-06-20 09:24:26,1.57%
2025-06-20 09:24:27,1.57%
2025-06-20 09:24:28,1.57%
2025-06-20 09:24:29,1.43%
2025-06-20 09:24:30,1.43%
2025-06-20 09:24:31,1.29%
2025-06-20 09:24:32,1.36%
2025-06-20 09:24:33,1.29%
2025-06-20 09:24:34,1.43%
2025-06-20 09:24:35,1.36%
2025-06-20 09:24:36,1.36%
2025-06-20 09:24:37,1.36%
2025-06-20 09:24:38,1.57%
2025-06-20 09:24:39,1.57%
2025-06-20 09:24:40,1.64%
2025-06-20 09:24:41,1.71%
2025-06-20 09:24:42,1.64%
2025-06-20 09:24:43,1.64%
2025-06-20 09:24:44,1.64%
2025-06-20 09:24:45,1.79%
2025-06-20 09:24:46,1.71%
2025-06-20 09:24:47,1.79%
2025-06-20 09:24:48,1.79%
2025-06-20 09:24:49,1.79%
2025-06-20 09:24:50,1.79%
2025-06-20 09:24:51,1.79%
2025-06-20 09:24:52,1.64%
2025-06-20 09:24:53,1.64%
2025-06-20 09:24:54,1.64%
2025-06-20 09:24:55,1.50%
2025-06-20 09:24:56,1.57%
2025-06-20 09:24:57,1.64%
2025-06-20 09:24:58,1.64%
2025-06-20 09:24:59,1.57%
2025-06-20 09:25:00,1.57%
2025-06-20 09:25:01,1.57%
2025-06-20 09:25:02,1.79%
2025-06-20 09:25:03,2.07%
2025-06-20 09:25:04,2.21%
2025-06-20 09:25:05,2.57%
2025-06-20 09:25:06,2.79%
2025-06-20 09:25:07,3.07%
2025-06-20 09:25:08,3.64%
2025-06-20 09:25:09,4%
2025-06-20 09:25:10,4.36%
2025-06-20 09:25:11,4.36%
2025-06-20 09:25:12,4.36%
2025-06-20 09:25:13,4.43%
2025-06-20 09:25:14,4.50%
2025-06-20 09:25:15,4.43%
2025-06-20 09:25:16,4.21%
2025-06-20 09:25:17,4.00%
2025-06-20 09:25:18,3.86%
2025-06-20 09:25:19,3.50%
2025-06-20 09:25:20,3.29%
2025-06-20 09:25:21,3.00%
2025-06-20 09:25:22,2.36%
2025-06-20 09:25:23,2.14%
2025-06-20 09:25:24,1.86%
2025-06-20 09:25:25,2.36%
2025-06-20 09:25:26,2.93%
2025-06-20 09:25:27,3.86%
2025-06-20 09:25:28,4.57%
2025-06-20 09:25:29,4.79%
2025-06-20 09:25:30,4.79%
2025-06-20 09:25:31,4.79%
2025-06-20 09:25:32,4.79%
2025-06-20 09:25:33,4.86%
2025-06-20 09:25:34,4.79%
2025-06-20 09:25:35,4.93%
2025-06-20 09:25:36,4.93%
2025-06-20 09:25:37,5.00%
2025-06-20 09:25:38,4.86%
2025-06-20 09:25:39,4.36%
2025-06-20 09:25:40,3.79%
2025-06-20 09:25:41,2.86%
2025-06-20 09:25:42,2.14%
2025-06-20 09:25:43,2.00%
2025-06-20 09:25:44,1.93%
2025-06-20 09:25:45,1.93%
2025-06-20 09:25:46,1.93%
2025-06-20 09:25:47,2.14%
2025-06-20 09:25:48,3.29%
2025-06-20 09:25:49,4.43%
2025-06-20 09:25:50,4.93%
2025-06-20 09:25:51,5.14%
2025-06-20 09:25:52,5.21%
2025-06-20 09:25:53,5.29%
2025-06-20 09:25:54,5.29%
2025-06-20 09:25:55,5.21%
2025-06-20 09:25:56,5.21%
2025-06-20 09:25:57,5.29%
2025-06-20 09:25:58,5.43%
2025-06-20 09:25:59,5.36%
2025-06-20 09:26:00,5.43%
2025-06-20 09:26:01,5.21%
2025-06-20 09:26:02,4.07%
2025-06-20 09:26:03,2.86%
2025-06-20 09:26:04,2.43%
2025-06-20 09:26:05,2.14%
2025-06-20 09:26:06,2.14%
2025-06-20 09:26:07,2.07%
2025-06-20 09:26:08,2.07%
2025-06-20 09:26:09,2.14%
2025-06-20 09:26:10,1.98%
2025-06-20 09:26:11,2.14%
2025-06-20 09:26:12,2.36%
2025-06-20 09:26:13,2.27%
2025-06-20 09:26:14,2.07%
2025-06-20 09:26:15,1.94%
2025-06-20 09:26:16,1.88%
2025-06-20 09:26:17,1.68%
2025-06-20 09:26:18,1.55%
2025-06-20 09:26:19,1.43%
2025-06-20 09:26:20,8.14%
2025-06-20 09:26:21,8.36%
2025-06-20 09:26:22,8.43%
2025-06-20 09:26:23,8.50%
2025-06-20 09:26:24,8.85%
2025-06-20 09:26:25,8.43%
2025-06-20 09:26:26,8.14%
2025-06-20 09:26:27,1.48%
2025-06-20 09:26:28,1.61%
2025-06-20 09:26:29,1.74%
2025-06-20 09:26:30,1.87%
2025-06-20 09:26:31,2.07%
2025-06-20 09:26:32,2.20%
2025-06-20 09:26:33,2.33%
2025-06-20 09:26:34,2.43%
2025-06-20 09:26:35,2.29%
2025-06-20 09:26:36,2.21%
2025-06-20 09:26:37,2.14%
2025-06-20 09:26:38,2.05%
2025-06-20 09:26:39,1.85%
2025-06-20 09:26:40,1.72%
2025-06-20 09:26:41,1.59%
2025-06-20 09:26:42,1.45%
2025-06-20 09:26:43,1.32%
2025-06-20 09:26:44,1.19%
2025-06-20 09:26:45,0.984%
2025-06-20 09:26:46,0.852%
2025-06-20 09:26:47,0.721%
2025-06-20 09:26:48,0.593%
2025-06-20 09:26:49,0.375%
2025-06-20 09:26:50,0.241%
