freq,num_nodes,starttimestamp,stoptimestamp
0,0,"2025-06-20 08:14:47","2025-06-20 08:14:58"
10,0,"2025-06-20 08:15:09","2025-06-20 08:15:20"
20,0,"2025-06-20 08:15:31","2025-06-20 08:15:42"
30,0,"2025-06-20 08:15:53","2025-06-20 08:16:04"
40,0,"2025-06-20 08:16:15","2025-06-20 08:16:26"
50,0,"2025-06-20 08:16:37","2025-06-20 08:16:48"
60,0,"2025-06-20 08:16:59","2025-06-20 08:17:10"
70,0,"2025-06-20 08:17:21","2025-06-20 08:17:32"
80,0,"2025-06-20 08:17:43","2025-06-20 08:17:54"
90,0,"2025-06-20 08:18:05","2025-06-20 08:18:16"
100,0,"2025-06-20 08:18:27","2025-06-20 08:18:39"
0,5,"2025-06-20 08:18:50","2025-06-20 08:19:02"
10,5,"2025-06-20 08:19:13","2025-06-20 08:19:25"
20,5,"2025-06-20 08:19:36","2025-06-20 08:19:48"
30,5,"2025-06-20 08:19:59","2025-06-20 08:20:11"
40,5,"2025-06-20 08:20:22","2025-06-20 08:20:34"
50,5,"2025-06-20 08:20:45","2025-06-20 08:20:57"
60,5,"2025-06-20 08:21:08","2025-06-20 08:21:20"
70,5,"2025-06-20 08:21:31","2025-06-20 08:21:43"
80,5,"2025-06-20 08:21:54","2025-06-20 08:22:06"
90,5,"2025-06-20 08:22:17","2025-06-20 08:22:29"
100,5,"2025-06-20 08:22:40","2025-06-20 08:22:52"
0,10,"2025-06-20 08:23:03","2025-06-20 08:23:15"
10,10,"2025-06-20 08:23:26","2025-06-20 08:23:39"
20,10,"2025-06-20 08:23:50","2025-06-20 08:24:02"
30,10,"2025-06-20 08:24:13","2025-06-20 08:24:25"
40,10,"2025-06-20 08:24:36","2025-06-20 08:24:48"
50,10,"2025-06-20 08:24:59","2025-06-20 08:25:11"
60,10,"2025-06-20 08:25:22","2025-06-20 08:25:34"
70,10,"2025-06-20 08:25:45","2025-06-20 08:25:57"
80,10,"2025-06-20 08:26:08","2025-06-20 08:26:20"
90,10,"2025-06-20 08:26:31","2025-06-20 08:26:43"
100,10,"2025-06-20 08:26:54","2025-06-20 08:27:06"
0,15,"2025-06-20 08:27:17","2025-06-20 08:27:29"
10,15,"2025-06-20 08:27:41","2025-06-20 08:27:53"
20,15,"2025-06-20 08:28:04","2025-06-20 08:28:16"
30,15,"2025-06-20 08:28:27","2025-06-20 08:28:39"
40,15,"2025-06-20 08:28:50","2025-06-20 08:29:02"
50,15,"2025-06-20 08:29:13","2025-06-20 08:29:25"
60,15,"2025-06-20 08:29:36","2025-06-20 08:29:48"
70,15,"2025-06-20 08:29:59","2025-06-20 08:30:11"
80,15,"2025-06-20 08:30:22","2025-06-20 08:30:35"
90,15,"2025-06-20 08:30:46","2025-06-20 08:30:58"
